id,address,battery,ict,lamp,latitude,longitude,postalCode
141,"10 SERANGOON NORTH AVENUE 2, ATM LOBBY AREA",1,1,1,1.3754071,103.8692587,555877
142,"167 BEDOK SOUTH AVE 3, #01-501",1,1,1,1.319595,103.944949,460167
143,"71 BEDOK SOUTH ROAD, #01-250",1,1,1,1.3204138,103.9427324,460071
144,"1 ROCHOR CANAL RD, SIM LIM SQUARE, LOADING BAY",1,1,1,1.3030332,103.8530255,188504
145,"18 ROBINSON ROAD, #04-03",1,1,1,1.28237,103.850956,48547
146,"10 DOVER DRIVE, SIT @ DOVER, MAIN LOBBY",1,1,1,1.3003557,103.7799764,138683
147,753 CHOA CHU KANG NORTH 5,1,1,1,1.392344,103.746943,680753
148,"475 CHOA CHU KANG AVENUE 3, WALKWAY CORRIDOR",1,1,1,1.377693,103.739059,680475
149,"399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE, COMMON CORRIDOR",1,1,1,1.334493,103.7204337,610399
150,"13 TAMPINES STREET 11, MAIN ENTRANCE",1,1,1,1.342672,103.944982,529453
151,"285 TAMPINES STREET 22, TAMPINES CHANGKAT ZONE 4 RC, VOID DECK",1,1,1,1.34960715,103.9523487,520285
152,"124 TAMPINES STREET 11, TAMPINES CHANGKAT ZONE 5 RC, VOID DECK",1,1,1,1.34555415,103.9494425,521124
153,"364 TAMPINES STREET 34, TAMPINES CHANGKAT ZONE 8 RC, VOID DECK",1,1,1,1.35709885,103.9600754,520364
154,"730 TAMPINES STREET 71, TAMPINES COURTVIEW RC, VOID DECK",1,1,1,1.3566578,103.9334812,520730
155,"232 TAMPINES STREET 21, #01-639, VOID DECK",1,1,1,1.35637565,103.9486852,521232
156,"736 TAMPINES STREET 72, TAMPINES GREENVALE RC, VOID DECK",1,1,1,1.35894385,103.9343634,520736
157,"430 TAMPINES STREET 41, TAMPINES NORTH ZONE 3 RC, VOID DECK",1,1,1,1.35855,103.94772,520430
158,"880 TAMPINES AVENUE 8, TAMPINES SPRING RN, VOID DECK",1,1,1,1.3514349,103.9312397,520880
159,"842 TAMPINES STREET 82, TAMPINES VILLE RN, VOID DECK",1,1,1,1.35183125,103.935683,520842
160,101 CANTONMENT ROAD,1,1,1,1.276279,103.841571,89774
161,"861 ANG MO KIO AVENUE 10, REAR ENTRANCE",1,1,1,1.363,103.853574,569734
162,"450 TELOK BLANGAH STREET 31, TELOK BLANGAH CC, RECEPTION AREA",1,1,1,1.274858,103.807882,108943
163,"21 TAMPINES AVENUE 1, TEMASEK POLYTECHNIC, MAIN ENTRANCE FOYER",1,1,1,1.34585,103.930232,529757
164,"2 HANDY RD, THE CATHAY, LOADING BAY",1,1,1,1.2996984,103.8479449,229233
165,"176 ORCHARD ROAD, LEVEL 3",1,1,1,1.3014954,103.839658,238843
166,"200 TURF CLUB ROAD DBS THE GRANDSTAND, THE GRANDSTAND (TURF CITY), MAIN LOBBY CONCEIRGE",1,1,1,1.3382334,103.7934753,287994
167,"123 PENANG ROAD, THE REGENCY HOUSE, LEVEL 1",1,1,1,1.2994967,103.8420386,238465
168,45 MAXWELL RD,1,1,1,1.279502,103.84519,69118
169,"301 UPPER THOMSON ROAD, THOMSON PLAZA, MAIN ENTRANCE",1,1,1,1.3543366,103.8302338,574408
170,"93 TOA PAYOH CENTRAL, MAIN ENTRANCE",1,1,1,1.334712,103.850305,319194
171,"160 LORONG 6 TOA PAYOH, MAIN ENTRANCE",1,1,1,1.336272,103.854641,319380
172,"1999 LORONG 8 TOA PAYOH, MAIN ENTRANCE",1,1,1,1.334758,103.859412,319258
173,"122 LORONG 2 TOA PAYOH VIEW RC, READING CORNER",1,1,1,1.338692,103.853733,310122
174,"200 LORONG 2 TOA PAYOH, SIDE OF BUILDING",1,1,1,1.338692,103.853733,319642
175,"170 GHIM MOH ROAD, CORRIDOR WALKWAY",1,1,1,1.312053,103.789454,279621
176,"2 COLLEGE AVE WEST, UTOWN - STEPHEN RIADY CENTRE, LEVEL 1 IN FRONT OF WAACOW RESTAURANT",1,1,1,1.304459,103.772908,138607
177,"491 RIVER VALLEY ROAD, VALLEY POINT, #03-01",1,1,1,1.2930751,103.8267442,248371
178,"548 WOODLANDS DRIVE 44, LEVEL 1",1,1,1,1.431143,103.794183,730548
179,"2 CLEMENTI WEST STREET 2, WALKWAY CORRIDOR",1,1,1,1.302736,103.764985,129605
180,"1 JURONG WEST ST 71, SECURITY GUARD POST",1,1,1,1.341889,103.69627,642648
181,"300 WHAMPOA DRIVE, BESIDE CONSTITUENCY OFFICE",1,1,1,1.324815,103.857064,327737
182,"1 ENGKU AMAN TURN, CC OFFICE ENTRANCE",1,1,1,1.316622,103.896989,408528
183,"598 YISHUN RING RD, WISTERIA MALL, BASEMENT 1 CARGO LIFT LOBBY",1,1,1,1.434776,103.833318,768698
184,"353 WOODLANDS AVENUE 1, WOODGROVE CC, VOID DECK",1,1,1,1.43191065,103.7852973,730353
185,"1 WOODLANDS STREET 81, WOODLANDS CC, MAIN ENTRANCE LOBBY",1,1,1,1.4398453,103.7882337,738526
186,"31 WOODLANDS AVENUE 6, WOODLANDS GALAXY CC, CC OFFICE ENTRANCE",1,1,1,1.439042,103.802474,738991
187,"768 WOODLANDS AVENUE 6, WOODLANDS MART, MAIN LOBBY",1,1,1,1.445795,103.798106,730768
188,18 JALAN RASOK,1,1,1,1.416966,103.7583759,739633
189,"846 WOODLANDS AVENUE 4, WOODLANDS ZONE 2 RN, VOID DECK",1,1,1,1.44342885,103.7936915,730846
